sender_country,receiver_country,total_transactions,total_volume_eur,avg_amount_eur,avg_risk_score,flagged_count,flag_rate_pct,flagged_volume_eur,is_cross_border,corridor_risk_band
PL,AT,45,799700.66,17771.13,16.91,2,4.44,524460.46,1,LOW RISK
AT,CZ,41,587353.61,14325.7,15.65,0,0.0,0.0,1,LOW RISK
AT,AT,43,112319.99,2612.09,15.26,1,2.33,24118.92,0,LOW RISK
IT,IT,55,518168.58,9421.25,15.1,0,0.0,0.0,0,LOW RISK
BE,DE,48,349641.81,7284.2,15.1,1,2.08,258299.33,1,LOW RISK
FR,CZ,39,724255.03,18570.64,15.06,0,0.0,0.0,1,LOW RISK
PT,NL,46,696884.66,15149.67,14.91,2,4.35,526651.51,1,LOW RISK
NL,AT,45,581941.57,12932.03,14.91,1,2.22,187286.29,1,LOW RISK
DK,PT,47,269409.78,5732.12,14.81,0,0.0,0.0,1,LOW RISK
PL,NL,42,501342.02,11936.71,14.72,0,0.0,0.0,1,LOW RISK
FR,PL,49,213879.89,4364.9,14.72,0,0.0,0.0,1,LOW RISK
HU,IT,48,795114.29,16564.88,14.66,1,2.08,496609.57,1,LOW RISK
SE,FI,43,220292.88,5123.09,14.64,0,0.0,0.0,1,LOW RISK
ES,CZ,41,272328.52,6642.16,14.48,1,2.44,147119.35,1,LOW RISK
RO,NL,31,467828.61,15091.25,14.34,0,0.0,0.0,1,LOW RISK
DE,HU,41,460637.13,11235.05,14.31,2,4.88,202539.97,1,LOW RISK
AT,DE,36,441233.39,12256.48,14.26,3,8.33,313793.3,1,LOW RISK
SE,PT,37,79468.74,2147.8,14.25,0,0.0,0.0,1,LOW RISK
HU,DE,40,203118.33,5077.96,14.23,2,5.0,118852.12,1,LOW RISK
NL,HU,53,434580.47,8199.63,14.22,0,0.0,0.0,1,LOW RISK
NL,PT,51,745402.04,14615.73,14.21,1,1.96,455792.36,1,LOW RISK
DK,IT,48,334420.99,6967.1,14.17,1,2.08,23390.81,1,LOW RISK
PT,AT,33,193537.38,5864.77,14.13,1,3.03,156955.1,1,LOW RISK
DK,BE,48,618442.65,12884.22,14.12,1,2.08,141623.26,1,LOW RISK
BE,HU,47,563008.84,11978.91,13.98,2,4.26,430030.53,1,LOW RISK
FR,AT,50,370332.11,7406.64,13.97,0,0.0,0.0,1,LOW RISK
FR,ES,46,380877.54,8279.95,13.96,0,0.0,0.0,1,LOW RISK
HU,RO,47,146449.48,3115.95,13.94,0,0.0,0.0,1,LOW RISK
PT,DE,41,178335.15,4349.64,13.92,1,2.44,65537.71,1,LOW RISK
BE,IT,46,624707.61,13580.6,13.91,2,4.35,426675.43,1,LOW RISK
FI,ES,42,310193.61,7385.56,13.72,1,2.38,129387.18,1,LOW RISK
FI,PT,48,694992.94,14479.02,13.66,2,4.17,496221.22,1,LOW RISK
CZ,RO,37,143915.87,3889.62,13.59,1,2.7,69250.1,1,LOW RISK
ES,RO,41,145966.7,3560.16,13.56,0,0.0,0.0,1,LOW RISK
ES,PL,38,356002.33,9368.48,13.55,1,2.63,226717.39,1,LOW RISK
FR,RO,52,404868.36,7785.93,13.52,0,0.0,0.0,1,LOW RISK
HU,HU,41,275602.58,6722.01,13.52,0,0.0,0.0,0,LOW RISK
CZ,AT,45,426114.0,9469.2,13.51,0,0.0,0.0,1,LOW RISK
CZ,CZ,38,170837.86,4495.73,13.51,0,0.0,0.0,0,LOW RISK
BE,PL,51,392336.27,7692.87,13.43,0,0.0,0.0,1,LOW RISK
AT,BE,43,91779.92,2134.42,13.41,0,0.0,0.0,1,LOW RISK
RO,FI,49,639669.46,13054.48,13.39,1,2.04,196060.07,1,LOW RISK
CZ,PL,48,462039.63,9625.83,13.38,1,2.08,58270.72,1,LOW RISK
IT,CZ,34,149406.54,4394.31,13.35,1,2.94,97634.3,1,LOW RISK
FI,BE,42,588038.77,14000.92,13.29,1,2.38,383259.49,1,LOW RISK
PL,HU,44,755115.8,17161.72,13.24,0,0.0,0.0,1,LOW RISK
IT,PL,43,553870.45,12880.71,13.24,0,0.0,0.0,1,LOW RISK
PT,PT,48,146465.63,3051.37,13.22,0,0.0,0.0,0,LOW RISK
HU,NL,46,155237.46,3374.73,13.21,0,0.0,0.0,1,LOW RISK
CZ,PT,41,568599.16,13868.27,13.18,1,2.44,496063.57,1,LOW RISK
AT,SE,41,186873.88,4557.9,13.18,0,0.0,0.0,1,LOW RISK
SE,ES,41,255367.86,6228.48,13.17,0,0.0,0.0,1,LOW RISK
DE,BE,47,247419.73,5264.25,13.13,2,4.26,155320.99,1,LOW RISK
RO,IT,39,250592.15,6425.44,13.12,0,0.0,0.0,1,LOW RISK
DE,DK,34,166960.41,4910.6,13.1,1,2.94,134698.63,1,LOW RISK
NL,SE,45,482933.19,10731.85,13.01,0,0.0,0.0,1,LOW RISK
BE,DK,39,79796.67,2046.07,13.01,0,0.0,0.0,1,LOW RISK
CZ,HU,41,382875.03,9338.42,13.0,0,0.0,0.0,1,LOW RISK
BE,NL,51,286383.74,5615.37,12.92,1,1.96,40957.94,1,LOW RISK
AT,DK,49,290205.51,5922.56,12.91,1,2.04,103451.96,1,LOW RISK
HU,SE,46,587831.6,12778.95,12.9,1,2.17,193837.31,1,LOW RISK
FI,FR,43,179672.98,4178.44,12.89,0,0.0,0.0,1,LOW RISK
PL,ES,43,223627.0,5200.63,12.87,0,0.0,0.0,1,LOW RISK
BE,RO,62,188335.89,3037.68,12.85,0,0.0,0.0,1,LOW RISK
FI,CZ,33,170534.13,5167.7,12.85,0,0.0,0.0,1,LOW RISK
IT,DE,39,158780.69,4071.3,12.84,1,2.56,33399.53,1,LOW RISK
DE,SE,35,119801.14,3422.89,12.83,0,0.0,0.0,1,LOW RISK
HU,FR,40,944583.84,23614.6,12.82,1,2.5,25734.99,1,LOW RISK
DK,NL,62,558019.48,9000.31,12.82,1,1.61,326773.1,1,LOW RISK
SE,DK,45,459740.46,10216.45,12.82,1,2.22,196048.04,1,LOW RISK
FI,DE,46,194018.67,4217.8,12.77,1,2.17,53107.64,1,LOW RISK
SE,CZ,44,427124.53,9707.38,12.75,0,0.0,0.0,1,LOW RISK
BE,FR,47,46296.25,985.03,12.75,0,0.0,0.0,1,LOW RISK
IT,BE,42,63249.03,1505.93,12.72,0,0.0,0.0,1,LOW RISK
RO,HU,54,184627.03,3419.02,12.71,1,1.85,42984.63,1,LOW RISK
FI,HU,35,345619.5,9874.84,12.69,0,0.0,0.0,1,LOW RISK
DK,DE,44,210781.44,4790.49,12.66,0,0.0,0.0,1,LOW RISK
IT,AT,48,304557.59,6344.95,12.62,1,2.08,58480.17,1,LOW RISK
HU,ES,40,294616.09,7365.4,12.6,1,2.5,56382.23,1,LOW RISK
SE,IT,42,447662.21,10658.62,12.52,0,0.0,0.0,1,LOW RISK
NL,FR,39,24596.58,630.68,12.47,0,0.0,0.0,1,LOW RISK
DE,FR,49,624547.54,12745.87,12.45,0,0.0,0.0,1,LOW RISK
PL,BE,47,226675.71,4822.89,12.45,0,0.0,0.0,1,LOW RISK
ES,ES,42,234408.94,5581.17,12.43,0,0.0,0.0,0,LOW RISK
FI,AT,39,76214.18,1954.21,12.4,0,0.0,0.0,1,LOW RISK
BE,BE,57,137532.24,2412.85,12.38,0,0.0,0.0,0,LOW RISK
NL,NL,45,807494.33,17944.32,12.36,0,0.0,0.0,0,LOW RISK
ES,BE,49,339990.51,6938.58,12.34,1,2.04,73877.14,1,LOW RISK
BE,AT,48,172071.04,3584.81,12.3,0,0.0,0.0,1,LOW RISK
AT,HU,48,524580.73,10928.77,12.27,0,0.0,0.0,1,LOW RISK
AT,NL,49,208299.98,4251.02,12.26,1,2.04,59632.54,1,LOW RISK
HU,AT,43,495726.65,11528.53,12.22,1,2.33,279212.44,1,LOW RISK
DK,SE,40,95371.62,2384.29,12.22,0,0.0,0.0,1,LOW RISK
PT,CZ,43,219620.85,5107.46,12.2,0,0.0,0.0,1,LOW RISK
DK,RO,48,374640.68,7805.01,12.19,0,0.0,0.0,1,LOW RISK
DE,IT,53,281097.89,5303.73,12.19,1,1.89,145125.12,1,LOW RISK
PT,FR,35,100912.66,2883.22,12.19,0,0.0,0.0,1,LOW RISK
CZ,BE,48,273343.07,5694.65,12.17,1,2.08,57719.27,1,LOW RISK
SE,BE,45,230199.99,5115.56,12.17,0,0.0,0.0,1,LOW RISK
SE,HU,39,92735.99,2377.85,12.17,0,0.0,0.0,1,LOW RISK
CZ,FR,50,430540.32,8610.81,12.06,1,2.0,54623.74,1,LOW RISK
DK,CZ,41,265412.36,6473.47,12.05,0,0.0,0.0,1,LOW RISK
RO,FR,35,217365.68,6210.45,12.05,0,0.0,0.0,1,LOW RISK
ES,DE,39,180126.37,4618.62,12.01,1,2.56,75698.29,1,LOW RISK
RO,BE,46,525938.04,11433.44,11.99,0,0.0,0.0,1,LOW RISK
PT,BE,45,377166.52,8381.48,11.98,2,4.44,339384.05,1,LOW RISK
IT,SE,41,212508.49,5183.13,11.98,0,0.0,0.0,1,LOW RISK
HU,DK,36,167967.91,4665.78,11.98,1,2.78,105100.87,1,LOW RISK
DE,ES,42,97460.92,2320.5,11.95,0,0.0,0.0,1,LOW RISK
RO,DE,44,693482.07,15760.96,11.88,0,0.0,0.0,1,LOW RISK
HU,BE,52,782950.25,15056.74,11.87,1,1.92,399852.69,1,LOW RISK
CZ,IT,49,186509.7,3806.32,11.86,0,0.0,0.0,1,LOW RISK
FR,DE,43,227090.01,5281.16,11.71,0,0.0,0.0,1,LOW RISK
SE,DE,49,577396.18,11783.6,11.7,0,0.0,0.0,1,LOW RISK
HU,FI,52,477804.84,9188.55,11.7,0,0.0,0.0,1,LOW RISK
ES,HU,47,131235.92,2792.25,11.61,0,0.0,0.0,1,LOW RISK
IT,DK,48,176017.38,3667.03,11.6,0,0.0,0.0,1,LOW RISK
PL,DE,42,175456.37,4177.53,11.6,1,2.38,113926.71,1,LOW RISK
CZ,DK,48,343458.25,7155.38,11.59,0,0.0,0.0,1,LOW RISK
FI,RO,43,79891.21,1857.94,11.56,0,0.0,0.0,1,LOW RISK
CZ,ES,41,155263.08,3786.9,11.52,1,2.44,76771.46,1,LOW RISK
PL,FI,48,66834.62,1392.39,11.5,0,0.0,0.0,1,LOW RISK
IT,FR,33,178428.55,5406.93,11.49,0,0.0,0.0,1,LOW RISK
DK,HU,46,98055.91,2131.65,11.49,1,2.17,35934.72,1,LOW RISK
DK,PL,56,172323.84,3077.21,11.48,0,0.0,0.0,1,LOW RISK
BE,PT,37,76626.46,2070.99,11.46,0,0.0,0.0,1,LOW RISK
FI,DK,52,184582.97,3549.67,11.44,1,1.92,112973.47,1,LOW RISK
ES,FI,55,198314.99,3605.73,11.37,1,1.82,79441.68,1,LOW RISK
CZ,FI,45,66894.69,1486.55,11.36,0,0.0,0.0,1,LOW RISK
DE,CZ,44,78940.05,1794.09,11.33,0,0.0,0.0,1,LOW RISK
AT,PT,38,256951.87,6761.89,11.32,1,2.63,181998.84,1,LOW RISK
RO,RO,39,162333.73,4162.4,11.32,0,0.0,0.0,0,LOW RISK
NL,PL,41,149582.26,3648.35,11.32,0,0.0,0.0,1,LOW RISK
PT,DK,43,324902.51,7555.87,11.28,1,2.33,182464.13,1,LOW RISK
SE,FR,60,207940.36,3465.67,11.28,0,0.0,0.0,1,LOW RISK
RO,CZ,45,199087.76,4424.17,11.25,0,0.0,0.0,1,LOW RISK
PL,DK,53,795832.62,15015.71,11.23,2,3.77,466522.06,1,LOW RISK
AT,ES,36,154253.12,4284.81,11.16,1,2.78,53268.76,1,LOW RISK
FR,FR,39,249891.73,6407.48,11.08,1,2.56,166508.44,0,LOW RISK
ES,NL,46,146632.83,3187.67,11.08,0,0.0,0.0,1,LOW RISK
FI,NL,47,254124.24,5406.9,11.07,2,4.26,126984.15,1,LOW RISK
DE,AT,43,107460.97,2499.09,11.06,0,0.0,0.0,1,LOW RISK
SE,RO,52,407632.24,7839.08,11.03,1,1.92,335535.97,1,LOW RISK
ES,SE,35,343289.86,9808.28,11.02,0,0.0,0.0,1,LOW RISK
DK,FI,35,198890.7,5682.59,11.02,0,0.0,0.0,1,LOW RISK
IT,HU,38,99583.51,2620.62,11.01,1,2.63,23848.53,1,LOW RISK
DK,DK,59,487062.93,8255.3,11.0,0,0.0,0.0,0,LOW RISK
IT,NL,41,119084.29,2904.49,11.0,0,0.0,0.0,1,LOW RISK
FR,IT,44,505486.39,11488.33,10.99,0,0.0,0.0,1,LOW RISK
ES,FR,57,396217.59,6951.19,10.98,1,1.75,149732.35,1,LOW RISK
NL,IT,49,307632.15,6278.21,10.97,0,0.0,0.0,1,LOW RISK
SE,AT,43,116499.58,2709.29,10.94,0,0.0,0.0,1,LOW RISK
FR,SE,49,212280.96,4332.26,10.93,0,0.0,0.0,1,LOW RISK
DE,PL,47,143978.32,3063.37,10.92,0,0.0,0.0,1,LOW RISK
FR,PT,29,41809.7,1441.71,10.91,0,0.0,0.0,1,LOW RISK
PL,SE,42,101199.11,2409.5,10.89,0,0.0,0.0,1,LOW RISK
SE,SE,31,49716.47,1603.76,10.88,0,0.0,0.0,0,LOW RISK
HU,PT,37,194222.8,5249.26,10.82,0,0.0,0.0,1,LOW RISK
RO,AT,60,345624.45,5760.41,10.81,1,1.67,123500.99,1,LOW RISK
AT,FR,48,297207.67,6191.83,10.73,0,0.0,0.0,1,LOW RISK
SE,NL,46,93653.82,2035.95,10.71,0,0.0,0.0,1,LOW RISK
PT,IT,44,320169.19,7276.57,10.69,1,2.27,147400.7,1,LOW RISK
FR,FI,51,438459.38,8597.24,10.68,0,0.0,0.0,1,LOW RISK
FI,IT,49,190467.38,3887.09,10.63,0,0.0,0.0,1,LOW RISK
BE,FI,50,684812.59,13696.25,10.62,1,2.0,446875.13,1,LOW RISK
IT,ES,42,244097.28,5811.84,10.62,0,0.0,0.0,1,LOW RISK
FR,BE,37,71594.8,1934.99,10.57,0,0.0,0.0,1,LOW RISK
PL,CZ,47,91373.23,1944.11,10.56,0,0.0,0.0,1,LOW RISK
NL,BE,47,213938.12,4551.87,10.55,1,2.13,50398.68,1,LOW RISK
RO,PT,46,154006.06,3347.96,10.46,0,0.0,0.0,1,LOW RISK
PT,RO,51,563323.7,11045.56,10.43,1,1.96,58816.62,1,LOW RISK
IT,FI,41,208950.64,5096.36,10.38,0,0.0,0.0,1,LOW RISK
DE,PT,55,411426.01,7480.47,10.34,0,0.0,0.0,1,LOW RISK
DK,FR,54,194220.95,3596.68,10.29,0,0.0,0.0,1,LOW RISK
FR,NL,46,77254.34,1679.44,10.27,0,0.0,0.0,1,LOW RISK
PT,HU,36,652194.88,18116.52,10.26,0,0.0,0.0,1,LOW RISK
FI,SE,41,223991.51,5463.21,10.26,0,0.0,0.0,1,LOW RISK
BE,CZ,39,110947.35,2844.8,10.22,0,0.0,0.0,1,LOW RISK
DK,AT,45,299610.44,6658.01,10.13,0,0.0,0.0,1,LOW RISK
DK,ES,39,352988.85,9051.0,10.12,0,0.0,0.0,1,LOW RISK
PT,PL,44,44975.48,1022.17,10.1,0,0.0,0.0,1,LOW RISK
RO,ES,40,173284.14,4332.1,10.08,0,0.0,0.0,1,LOW RISK
IT,RO,46,58369.27,1268.9,10.08,0,0.0,0.0,1,LOW RISK
FI,FI,50,196063.87,3921.28,10.03,0,0.0,0.0,0,LOW RISK
AT,PL,43,155467.49,3615.52,10.02,0,0.0,0.0,1,LOW RISK
DE,RO,38,73016.11,1921.48,10.01,0,0.0,0.0,1,LOW RISK
NL,ES,38,128039.23,3369.45,9.98,0,0.0,0.0,1,LOW RISK
NL,CZ,54,184764.72,3421.57,9.97,0,0.0,0.0,1,LOW RISK
AT,RO,48,767447.43,15988.49,9.93,2,4.17,635304.23,1,LOW RISK
PL,RO,58,52493.65,905.06,9.91,0,0.0,0.0,1,LOW RISK
NL,RO,54,144146.7,2669.38,9.9,0,0.0,0.0,1,LOW RISK
HU,PL,45,194278.72,4317.3,9.86,0,0.0,0.0,1,LOW RISK
NL,DK,38,298094.55,7844.59,9.85,1,2.63,75523.38,1,LOW RISK
RO,PL,48,162346.37,3382.22,9.85,0,0.0,0.0,1,LOW RISK
ES,IT,39,302258.83,7750.23,9.83,0,0.0,0.0,1,LOW RISK
DE,NL,36,181372.87,5038.14,9.83,1,2.78,105109.9,1,LOW RISK
AT,FI,46,111704.99,2428.37,9.82,0,0.0,0.0,1,LOW RISK
PL,PL,39,131235.06,3365.0,9.8,0,0.0,0.0,0,LOW RISK
CZ,DE,38,215217.93,5663.63,9.71,0,0.0,0.0,1,LOW RISK
HU,CZ,51,97186.59,1905.62,9.6,1,1.96,20601.21,1,LOW RISK
PL,FR,36,62668.31,1740.79,9.59,0,0.0,0.0,1,LOW RISK
CZ,SE,46,187850.14,4083.7,9.46,0,0.0,0.0,1,LOW RISK
PL,PT,45,480994.76,10688.77,9.37,1,2.22,392442.4,1,LOW RISK
NL,FI,40,169006.26,4225.16,9.37,0,0.0,0.0,1,LOW RISK
IT,PT,55,82041.14,1491.66,9.23,0,0.0,0.0,1,LOW RISK
CZ,NL,49,206136.79,4206.87,9.19,0,0.0,0.0,1,LOW RISK
FR,HU,38,120312.07,3166.11,9.12,0,0.0,0.0,1,LOW RISK
PT,FI,47,282730.88,6015.55,9.07,0,0.0,0.0,1,LOW RISK
RO,SE,52,121711.35,2340.6,9.05,0,0.0,0.0,1,LOW RISK
DE,FI,40,91385.71,2284.64,9.05,0,0.0,0.0,1,LOW RISK
PT,SE,39,498616.65,12785.04,9.04,0,0.0,0.0,1,LOW RISK
SE,PL,50,178861.49,3577.23,9.03,0,0.0,0.0,1,LOW RISK
ES,PT,47,599715.39,12759.9,8.99,1,2.13,472688.29,1,LOW RISK
AT,IT,51,49213.38,964.97,8.97,0,0.0,0.0,1,LOW RISK
FI,PL,36,65160.1,1810.0,8.9,0,0.0,0.0,1,LOW RISK
DE,DE,43,127713.42,2970.08,8.89,0,0.0,0.0,0,LOW RISK
PL,IT,46,231801.18,5039.16,8.75,0,0.0,0.0,1,LOW RISK
FR,DK,48,143813.77,2996.12,8.75,0,0.0,0.0,1,LOW RISK
BE,SE,42,89442.08,2129.57,8.6,0,0.0,0.0,1,LOW RISK
ES,AT,43,242566.8,5641.09,8.47,0,0.0,0.0,1,LOW RISK
RO,DK,40,43373.25,1084.33,8.38,0,0.0,0.0,1,LOW RISK
ES,DK,43,69344.45,1612.66,8.2,0,0.0,0.0,1,LOW RISK
BE,ES,42,58982.62,1404.35,7.6,0,0.0,0.0,1,LOW RISK
