txn_date,year,month,month_name,daily_txn_count,daily_volume_eur,daily_avg_amount,daily_avg_risk_score,daily_flagged_count,daily_off_hours_count,high_value_count,avg_daily_txn_count,avg_daily_volume_eur,txn_count_vs_avg,volume_vs_avg_eur,txn_deviation_pct,anomaly_type
2023-01-17,2023,1,Jan,27,53108.04,1966.96,17.66,0,14,0,16.44,153578.06,10.56,-100470.02,64.23,VOLUME SPIKE
2023-01-18,2023,1,Jan,10,57619.41,5761.94,26.14,1,5,0,16.44,153578.06,-6.44,-95958.65,-39.17,NORMAL
2023-01-19,2023,1,Jan,14,283637.1,20259.79,20.25,1,4,2,16.44,153578.06,-2.44,130059.04,-14.84,NORMAL
2023-01-20,2023,1,Jan,17,48546.0,2855.65,19.21,1,4,0,16.44,153578.06,0.56,-105032.06,3.41,NORMAL
2023-01-21,2023,1,Jan,13,106895.22,8222.71,19.24,1,5,1,16.44,153578.06,-3.44,-46682.84,-20.92,NORMAL
2023-01-22,2023,1,Jan,19,295159.42,15534.71,16.98,1,6,2,16.44,153578.06,2.56,141581.36,15.57,NORMAL
2023-01-23,2023,1,Jan,17,10720.28,630.6,12.33,0,5,0,16.44,153578.06,0.56,-142857.78,3.41,NORMAL
2023-01-24,2023,1,Jan,13,28024.92,2155.76,11.0,0,2,0,16.44,153578.06,-3.44,-125553.14,-20.92,NORMAL
2023-01-25,2023,1,Jan,25,458604.87,18344.19,18.01,2,10,4,16.44,153578.06,8.56,305026.81,52.07,VOLUME SPIKE
2023-01-26,2023,1,Jan,16,30631.46,1914.47,10.44,0,4,0,16.44,153578.06,-0.44,-122946.6,-2.68,NORMAL
2023-01-27,2023,1,Jan,19,86697.63,4563.03,19.18,2,7,1,16.44,153578.06,2.56,-66880.43,15.57,NORMAL
2023-01-28,2023,1,Jan,13,17638.22,1356.79,13.25,0,6,0,16.44,153578.06,-3.44,-135939.84,-20.92,NORMAL
2023-01-29,2023,1,Jan,12,281442.07,23453.51,24.76,1,5,2,16.44,153578.06,-4.44,127864.01,-27.01,NORMAL
2023-01-30,2023,1,Jan,13,47537.3,3656.72,11.73,0,5,0,16.44,153578.06,-3.44,-106040.76,-20.92,NORMAL
2023-01-31,2023,1,Jan,17,91904.78,5406.16,17.91,2,3,1,16.44,153578.06,0.56,-61673.28,3.41,NORMAL
2023-02-01,2023,2,Feb,12,14804.03,1233.67,11.05,0,2,0,16.44,153578.06,-4.44,-138774.03,-27.01,NORMAL
2023-02-02,2023,2,Feb,18,72687.67,4038.2,16.68,1,6,0,16.44,153578.06,1.56,-80890.39,9.49,NORMAL
2023-02-03,2023,2,Feb,15,28375.41,1891.69,19.71,1,5,0,16.44,153578.06,-1.44,-125202.65,-8.76,NORMAL
2023-02-04,2023,2,Feb,12,378674.2,31556.18,21.54,0,5,1,16.44,153578.06,-4.44,225096.14,-27.01,NORMAL
2023-02-05,2023,2,Feb,12,67209.63,5600.8,12.78,0,4,1,16.44,153578.06,-4.44,-86368.43,-27.01,NORMAL
2023-02-06,2023,2,Feb,18,22132.77,1229.6,11.33,0,4,0,16.44,153578.06,1.56,-131445.29,9.49,NORMAL
2023-02-07,2023,2,Feb,17,168819.84,9930.58,18.11,1,8,1,16.44,153578.06,0.56,15241.78,3.41,NORMAL
2023-02-08,2023,2,Feb,20,58855.05,2942.75,13.76,0,4,0,16.44,153578.06,3.56,-94723.01,21.65,NORMAL
2023-02-09,2023,2,Feb,13,12254.98,942.69,8.68,0,2,0,16.44,153578.06,-3.44,-141323.08,-20.92,NORMAL
2023-02-10,2023,2,Feb,14,84432.01,6030.86,22.86,1,5,0,16.44,153578.06,-2.44,-69146.05,-14.84,NORMAL
2023-02-11,2023,2,Feb,16,79734.73,4983.42,20.46,1,6,0,16.44,153578.06,-0.44,-73843.33,-2.68,NORMAL
2023-02-12,2023,2,Feb,19,365308.34,19226.75,24.95,3,9,2,16.44,153578.06,2.56,211730.28,15.57,NORMAL
2023-02-13,2023,2,Feb,32,142627.33,4457.1,16.33,0,8,1,16.44,153578.06,15.56,-10950.73,94.65,VOLUME SPIKE
2023-02-14,2023,2,Feb,7,11122.55,1588.94,26.02,1,3,0,16.44,153578.06,-9.44,-142455.51,-57.42,VOLUME DROP
2023-02-15,2023,2,Feb,19,23021.81,1211.67,7.47,0,3,0,16.44,153578.06,2.56,-130556.25,15.57,NORMAL
2023-02-16,2023,2,Feb,27,431592.31,15984.9,24.07,1,10,3,16.44,153578.06,10.56,278014.25,64.23,VOLUME SPIKE
2023-02-17,2023,2,Feb,18,293426.65,16301.48,19.69,1,7,2,16.44,153578.06,1.56,139848.59,9.49,NORMAL
2023-02-18,2023,2,Feb,23,405779.06,17642.57,19.25,1,8,2,16.44,153578.06,6.56,252201.0,39.9,NORMAL
2023-02-19,2023,2,Feb,14,108738.52,7767.04,9.21,1,1,1,16.44,153578.06,-2.44,-44839.54,-14.84,NORMAL
2023-02-20,2023,2,Feb,19,59085.07,3109.74,13.85,0,4,0,16.44,153578.06,2.56,-94492.99,15.57,NORMAL
2023-02-21,2023,2,Feb,16,72348.66,4521.79,12.21,0,1,0,16.44,153578.06,-0.44,-81229.4,-2.68,NORMAL
2023-02-22,2023,2,Feb,16,24335.7,1520.98,13.71,0,3,0,16.44,153578.06,-0.44,-129242.36,-2.68,NORMAL
2023-02-23,2023,2,Feb,9,27612.49,3068.05,12.66,0,1,0,16.44,153578.06,-7.44,-125965.57,-45.26,NORMAL
2023-02-24,2023,2,Feb,11,74797.15,6799.74,25.15,1,4,0,16.44,153578.06,-5.44,-78780.91,-33.09,NORMAL
2023-02-25,2023,2,Feb,16,177944.98,11121.56,19.81,1,2,1,16.44,153578.06,-0.44,24366.92,-2.68,NORMAL
2023-02-26,2023,2,Feb,23,622861.87,27080.95,19.86,2,7,2,16.44,153578.06,6.56,469283.81,39.9,NORMAL
2023-02-27,2023,2,Feb,21,185182.35,8818.21,12.79,1,7,2,16.44,153578.06,4.56,31604.29,27.74,NORMAL
2023-02-28,2023,2,Feb,18,9734.13,540.79,12.05,0,4,0,16.44,153578.06,1.56,-143843.93,9.49,NORMAL
2023-03-01,2023,3,Mar,13,103427.39,7955.95,13.06,0,5,1,16.44,153578.06,-3.44,-50150.67,-20.92,NORMAL
2023-03-02,2023,3,Mar,18,58732.25,3262.9,16.13,0,8,0,16.44,153578.06,1.56,-94845.81,9.49,NORMAL
2023-03-03,2023,3,Mar,8,18311.17,2288.9,22.43,0,4,0,16.44,153578.06,-8.44,-135266.89,-51.34,VOLUME DROP
2023-03-04,2023,3,Mar,12,11753.98,979.5,19.87,0,6,0,16.44,153578.06,-4.44,-141824.08,-27.01,NORMAL
2023-03-05,2023,3,Mar,16,49023.72,3063.98,12.5,1,3,0,16.44,153578.06,-0.44,-104554.34,-2.68,NORMAL
2023-03-06,2023,3,Mar,12,136121.61,11343.47,20.33,1,4,1,16.44,153578.06,-4.44,-17456.45,-27.01,NORMAL
2023-03-07,2023,3,Mar,16,64506.37,4031.65,21.65,1,8,0,16.44,153578.06,-0.44,-89071.69,-2.68,NORMAL
2023-03-08,2023,3,Mar,19,116318.82,6122.04,16.39,0,7,1,16.44,153578.06,2.56,-37259.24,15.57,NORMAL
2023-03-09,2023,3,Mar,17,124055.46,7297.38,14.29,0,7,1,16.44,153578.06,0.56,-29522.6,3.41,NORMAL
2023-03-10,2023,3,Mar,15,100597.43,6706.5,12.17,0,7,1,16.44,153578.06,-1.44,-52980.63,-8.76,NORMAL
2023-03-11,2023,3,Mar,14,232717.63,16622.69,17.45,1,4,1,16.44,153578.06,-2.44,79139.57,-14.84,NORMAL
2023-03-12,2023,3,Mar,30,404472.83,13482.43,19.75,1,13,3,16.44,153578.06,13.56,250894.77,82.48,VOLUME SPIKE
2023-03-13,2023,3,Mar,26,226722.46,8720.09,15.6,1,9,1,16.44,153578.06,9.56,73144.4,58.15,VOLUME SPIKE
2023-03-14,2023,3,Mar,18,31793.88,1766.33,12.38,0,6,0,16.44,153578.06,1.56,-121784.18,9.49,NORMAL
2023-03-15,2023,3,Mar,13,10487.47,806.73,21.74,0,7,0,16.44,153578.06,-3.44,-143090.59,-20.92,NORMAL
2023-03-16,2023,3,Mar,16,366574.64,22910.92,23.86,1,7,2,16.44,153578.06,-0.44,212996.58,-2.68,NORMAL
2023-03-17,2023,3,Mar,20,36217.3,1810.87,16.17,1,6,0,16.44,153578.06,3.56,-117360.76,21.65,NORMAL
2023-03-18,2023,3,Mar,17,60430.58,3554.74,17.39,1,7,0,16.44,153578.06,0.56,-93147.48,3.41,NORMAL
2023-03-19,2023,3,Mar,21,36002.55,1714.41,14.82,0,9,0,16.44,153578.06,4.56,-117575.51,27.74,NORMAL
2023-03-20,2023,3,Mar,17,42873.05,2521.94,16.0,1,4,0,16.44,153578.06,0.56,-110705.01,3.41,NORMAL
2023-03-21,2023,3,Mar,22,38691.28,1758.69,17.62,0,7,0,16.44,153578.06,5.56,-114886.78,33.82,NORMAL
2023-03-22,2023,3,Mar,18,150006.31,8333.68,19.07,1,8,1,16.44,153578.06,1.56,-3571.75,9.49,NORMAL
2023-03-23,2023,3,Mar,16,102108.17,6381.76,21.97,1,7,1,16.44,153578.06,-0.44,-51469.89,-2.68,NORMAL
2023-03-24,2023,3,Mar,22,509468.17,23157.64,18.82,1,11,1,16.44,153578.06,5.56,355890.11,33.82,NORMAL
2023-03-25,2023,3,Mar,21,543357.19,25874.15,17.02,1,7,1,16.44,153578.06,4.56,389779.13,27.74,NORMAL
2023-03-26,2023,3,Mar,15,24076.76,1605.12,12.42,0,5,0,16.44,153578.06,-1.44,-129501.3,-8.76,NORMAL
2023-03-27,2023,3,Mar,16,22550.13,1409.38,10.09,0,6,0,16.44,153578.06,-0.44,-131027.93,-2.68,NORMAL
2023-03-28,2023,3,Mar,11,16057.54,1459.78,19.56,0,4,0,16.44,153578.06,-5.44,-137520.52,-33.09,NORMAL
2023-03-29,2023,3,Mar,19,335618.85,17664.15,20.44,1,5,2,16.44,153578.06,2.56,182040.79,15.57,NORMAL
2023-03-30,2023,3,Mar,24,327742.25,13655.93,16.19,0,9,1,16.44,153578.06,7.56,174164.19,45.99,NORMAL
2023-03-31,2023,3,Mar,18,177991.22,9888.4,16.13,1,5,1,16.44,153578.06,1.56,24413.16,9.49,NORMAL
2023-04-01,2023,4,Apr,20,989564.13,49478.21,20.98,2,7,1,16.44,153578.06,3.56,835986.07,21.65,NORMAL
2023-04-02,2023,4,Apr,25,45723.77,1828.95,19.27,1,11,0,16.44,153578.06,8.56,-107854.29,52.07,VOLUME SPIKE
2023-04-03,2023,4,Apr,21,66349.5,3159.5,21.87,2,9,0,16.44,153578.06,4.56,-87228.56,27.74,NORMAL
2023-04-04,2023,4,Apr,18,14367.1,798.17,14.39,0,5,0,16.44,153578.06,1.56,-139210.96,9.49,NORMAL
2023-04-05,2023,4,Apr,17,499972.33,29410.14,19.58,1,7,1,16.44,153578.06,0.56,346394.27,3.41,NORMAL
2023-04-06,2023,4,Apr,17,15972.54,939.56,14.09,0,5,0,16.44,153578.06,0.56,-137605.52,3.41,NORMAL
2023-04-07,2023,4,Apr,17,29000.48,1705.91,7.03,0,3,0,16.44,153578.06,0.56,-124577.58,3.41,NORMAL
2023-04-08,2023,4,Apr,15,161288.03,10752.54,14.96,0,7,1,16.44,153578.06,-1.44,7709.97,-8.76,NORMAL
2023-04-09,2023,4,Apr,18,276802.79,15377.93,18.0,1,9,2,16.44,153578.06,1.56,123224.73,9.49,NORMAL
2023-04-10,2023,4,Apr,17,20621.91,1213.05,10.92,0,4,0,16.44,153578.06,0.56,-132956.15,3.41,NORMAL
2023-04-11,2023,4,Apr,15,72833.26,4855.55,16.12,0,4,0,16.44,153578.06,-1.44,-80744.8,-8.76,NORMAL
2023-04-12,2023,4,Apr,20,102031.12,5101.56,8.89,0,3,1,16.44,153578.06,3.56,-51546.94,21.65,NORMAL
2023-04-13,2023,4,Apr,15,242581.54,16172.1,19.1,0,6,1,16.44,153578.06,-1.44,89003.48,-8.76,NORMAL
2023-04-14,2023,4,Apr,20,138777.36,6938.87,13.59,0,8,1,16.44,153578.06,3.56,-14800.7,21.65,NORMAL
2023-04-15,2023,4,Apr,13,37311.77,2870.14,16.19,0,4,0,16.44,153578.06,-3.44,-116266.29,-20.92,NORMAL
2023-04-16,2023,4,Apr,9,8398.85,933.21,10.42,0,2,0,16.44,153578.06,-7.44,-145179.21,-45.26,NORMAL
2023-04-17,2023,4,Apr,17,373011.85,21941.87,17.49,1,4,1,16.44,153578.06,0.56,219433.79,3.41,NORMAL
2023-04-18,2023,4,Apr,19,336632.63,17717.51,18.4,0,7,2,16.44,153578.06,2.56,183054.57,15.57,NORMAL
2023-04-19,2023,4,Apr,23,84766.94,3685.52,11.84,0,3,1,16.44,153578.06,6.56,-68811.12,39.9,NORMAL
2023-04-20,2023,4,Apr,13,115615.4,8893.49,20.59,1,4,1,16.44,153578.06,-3.44,-37962.66,-20.92,NORMAL
2023-04-21,2023,4,Apr,23,65857.15,2863.35,11.62,0,5,0,16.44,153578.06,6.56,-87720.91,39.9,NORMAL
2023-04-22,2023,4,Apr,10,10103.81,1010.38,7.98,0,3,0,16.44,153578.06,-6.44,-143474.25,-39.17,NORMAL
2023-04-23,2023,4,Apr,19,109638.71,5770.46,12.14,0,5,1,16.44,153578.06,2.56,-43939.35,15.57,NORMAL
2023-04-24,2023,4,Apr,14,189843.29,13560.24,21.31,1,5,1,16.44,153578.06,-2.44,36265.23,-14.84,NORMAL
2023-04-25,2023,4,Apr,11,37045.58,3367.78,11.77,0,4,0,16.44,153578.06,-5.44,-116532.48,-33.09,NORMAL
2023-04-26,2023,4,Apr,20,166094.02,8304.7,16.41,1,5,2,16.44,153578.06,3.56,12515.96,21.65,NORMAL
2023-04-27,2023,4,Apr,18,242872.14,13492.9,18.1,2,5,1,16.44,153578.06,1.56,89294.08,9.49,NORMAL
2023-04-28,2023,4,Apr,12,20600.91,1716.74,11.35,0,3,0,16.44,153578.06,-4.44,-132977.15,-27.01,NORMAL
2023-04-29,2023,4,Apr,24,328916.71,13704.86,17.47,2,11,2,16.44,153578.06,7.56,175338.65,45.99,NORMAL
2023-04-30,2023,4,Apr,27,35323.18,1308.27,15.95,0,13,0,16.44,153578.06,10.56,-118254.88,64.23,VOLUME SPIKE
2023-05-01,2023,5,May,16,240327.42,15020.46,14.69,0,4,1,16.44,153578.06,-0.44,86749.36,-2.68,NORMAL
2023-05-02,2023,5,May,16,412668.33,25791.77,17.68,1,3,2,16.44,153578.06,-0.44,259090.27,-2.68,NORMAL
2023-05-03,2023,5,May,19,384684.14,20246.53,26.39,2,9,3,16.44,153578.06,2.56,231106.08,15.57,NORMAL
2023-05-04,2023,5,May,20,201563.87,10078.19,19.55,1,5,1,16.44,153578.06,3.56,47985.81,21.65,NORMAL
2023-05-05,2023,5,May,10,16396.36,1639.64,13.98,0,2,0,16.44,153578.06,-6.44,-137181.7,-39.17,NORMAL
2023-05-06,2023,5,May,15,707270.82,47151.39,26.6,3,7,2,16.44,153578.06,-1.44,553692.76,-8.76,NORMAL
2023-05-07,2023,5,May,17,345995.75,20352.69,19.17,1,5,1,16.44,153578.06,0.56,192417.69,3.41,NORMAL
2023-05-08,2023,5,May,20,147150.75,7357.54,18.39,1,8,1,16.44,153578.06,3.56,-6427.31,21.65,NORMAL
2023-05-09,2023,5,May,14,8407.82,600.56,9.32,0,4,0,16.44,153578.06,-2.44,-145170.24,-14.84,NORMAL
2023-05-10,2023,5,May,13,135341.1,10410.85,21.98,1,5,1,16.44,153578.06,-3.44,-18236.96,-20.92,NORMAL
2023-05-11,2023,5,May,18,425379.8,23632.21,17.73,1,9,1,16.44,153578.06,1.56,271801.74,9.49,NORMAL
2023-05-12,2023,5,May,14,17022.16,1215.87,18.4,1,6,0,16.44,153578.06,-2.44,-136555.9,-14.84,NORMAL
2023-05-13,2023,5,May,21,211818.42,10086.59,20.72,1,3,1,16.44,153578.06,4.56,58240.36,27.74,NORMAL
2023-05-14,2023,5,May,13,45135.26,3471.94,20.12,1,4,0,16.44,153578.06,-3.44,-108442.8,-20.92,NORMAL
2023-05-15,2023,5,May,17,24966.58,1468.62,17.86,1,8,0,16.44,153578.06,0.56,-128611.48,3.41,NORMAL
2023-05-16,2023,5,May,18,67147.16,3730.4,16.56,0,8,0,16.44,153578.06,1.56,-86430.9,9.49,NORMAL
2023-05-17,2023,5,May,16,280222.43,17513.9,19.66,1,5,1,16.44,153578.06,-0.44,126644.37,-2.68,NORMAL
2023-05-18,2023,5,May,28,418945.88,14962.35,20.53,2,7,3,16.44,153578.06,11.56,265367.82,70.32,VOLUME SPIKE
2023-05-19,2023,5,May,16,757142.74,47321.42,16.85,2,6,2,16.44,153578.06,-0.44,603564.68,-2.68,NORMAL
2023-05-20,2023,5,May,8,34719.98,4340.0,21.44,1,3,0,16.44,153578.06,-8.44,-118858.08,-51.34,VOLUME DROP
2023-05-21,2023,5,May,15,131051.82,8736.79,18.35,1,8,1,16.44,153578.06,-1.44,-22526.24,-8.76,NORMAL
2023-05-22,2023,5,May,23,390067.88,16959.47,13.4,2,7,2,16.44,153578.06,6.56,236489.82,39.9,NORMAL
2023-05-23,2023,5,May,12,85705.87,7142.16,17.27,0,7,1,16.44,153578.06,-4.44,-67872.19,-27.01,NORMAL
2023-05-24,2023,5,May,14,17624.27,1258.88,14.09,0,4,0,16.44,153578.06,-2.44,-135953.79,-14.84,NORMAL
2023-05-25,2023,5,May,26,138889.93,5341.92,19.12,2,6,1,16.44,153578.06,9.56,-14688.13,58.15,VOLUME SPIKE
2023-05-26,2023,5,May,26,190555.75,7329.07,20.6,1,13,1,16.44,153578.06,9.56,36977.69,58.15,VOLUME SPIKE
2023-05-27,2023,5,May,15,74569.88,4971.33,14.98,1,4,1,16.44,153578.06,-1.44,-79008.18,-8.76,NORMAL
2023-05-28,2023,5,May,16,52842.63,3302.66,20.42,0,5,0,16.44,153578.06,-0.44,-100735.43,-2.68,NORMAL
2023-05-29,2023,5,May,13,608003.17,46769.47,25.99,3,7,2,16.44,153578.06,-3.44,454425.11,-20.92,NORMAL
2023-05-30,2023,5,May,15,79437.78,5295.85,18.59,0,5,1,16.44,153578.06,-1.44,-74140.28,-8.76,NORMAL
2023-05-31,2023,5,May,22,193195.14,8781.6,14.14,0,8,1,16.44,153578.06,5.56,39617.08,33.82,NORMAL
2023-06-01,2023,6,Jun,13,111840.97,8603.15,13.97,0,3,1,16.44,153578.06,-3.44,-41737.09,-20.92,NORMAL
2023-06-02,2023,6,Jun,21,93071.24,4431.96,17.81,2,7,0,16.44,153578.06,4.56,-60506.82,27.74,NORMAL
2023-06-03,2023,6,Jun,20,183427.05,9171.35,20.97,1,9,1,16.44,153578.06,3.56,29848.99,21.65,NORMAL
2023-06-04,2023,6,Jun,13,34115.19,2624.25,10.67,0,3,0,16.44,153578.06,-3.44,-119462.87,-20.92,NORMAL
2023-06-05,2023,6,Jun,9,15607.39,1734.15,18.26,1,3,0,16.44,153578.06,-7.44,-137970.67,-45.26,NORMAL
2023-06-06,2023,6,Jun,19,74306.9,3910.89,14.78,0,8,0,16.44,153578.06,2.56,-79271.16,15.57,NORMAL
2023-06-07,2023,6,Jun,12,118385.65,9865.47,23.57,0,5,1,16.44,153578.06,-4.44,-35192.41,-27.01,NORMAL
2023-06-08,2023,6,Jun,18,11522.31,640.13,15.03,1,8,0,16.44,153578.06,1.56,-142055.75,9.49,NORMAL
2023-06-09,2023,6,Jun,15,416286.12,27752.41,17.82,1,4,1,16.44,153578.06,-1.44,262708.06,-8.76,NORMAL
2023-06-10,2023,6,Jun,15,58066.54,3871.1,10.57,0,4,0,16.44,153578.06,-1.44,-95511.52,-8.76,NORMAL
2023-06-11,2023,6,Jun,25,179624.91,7185.0,14.7,0,8,2,16.44,153578.06,8.56,26046.85,52.07,VOLUME SPIKE
2023-06-12,2023,6,Jun,18,35102.75,1950.15,16.13,0,5,0,16.44,153578.06,1.56,-118475.31,9.49,NORMAL
2023-06-13,2023,6,Jun,18,495725.6,27540.31,22.11,1,10,2,16.44,153578.06,1.56,342147.54,9.49,NORMAL
2023-06-14,2023,6,Jun,15,60015.41,4001.03,9.92,0,2,0,16.44,153578.06,-1.44,-93562.65,-8.76,NORMAL
2023-06-15,2023,6,Jun,12,54125.65,4510.47,15.25,0,6,0,16.44,153578.06,-4.44,-99452.41,-27.01,NORMAL
2023-06-16,2023,6,Jun,22,155630.92,7074.13,10.71,0,4,1,16.44,153578.06,5.56,2052.86,33.82,NORMAL
2023-06-17,2023,6,Jun,21,302330.2,14396.68,17.18,1,5,2,16.44,153578.06,4.56,148752.14,27.74,NORMAL
2023-06-18,2023,6,Jun,13,34261.43,2635.49,14.05,0,5,0,16.44,153578.06,-3.44,-119316.63,-20.92,NORMAL
2023-06-19,2023,6,Jun,19,152666.93,8035.1,22.78,1,7,0,16.44,153578.06,2.56,-911.13,15.57,NORMAL
2023-06-20,2023,6,Jun,13,322152.85,24780.99,19.3,1,6,1,16.44,153578.06,-3.44,168574.79,-20.92,NORMAL
2023-06-21,2023,6,Jun,12,19164.83,1597.07,12.95,0,2,0,16.44,153578.06,-4.44,-134413.23,-27.01,NORMAL
2023-06-22,2023,6,Jun,11,373820.02,33983.64,19.92,0,4,1,16.44,153578.06,-5.44,220241.96,-33.09,NORMAL
2023-06-23,2023,6,Jun,13,481200.63,37015.43,27.88,3,6,1,16.44,153578.06,-3.44,327622.57,-20.92,NORMAL
2023-06-24,2023,6,Jun,16,24849.18,1553.07,13.39,0,6,0,16.44,153578.06,-0.44,-128728.88,-2.68,NORMAL
2023-06-25,2023,6,Jun,12,20760.61,1730.05,16.58,0,4,0,16.44,153578.06,-4.44,-132817.45,-27.01,NORMAL
2023-06-26,2023,6,Jun,10,284887.18,28488.72,11.75,0,1,1,16.44,153578.06,-6.44,131309.12,-39.17,NORMAL
2023-06-27,2023,6,Jun,18,176534.13,9807.45,20.16,2,3,2,16.44,153578.06,1.56,22956.07,9.49,NORMAL
2023-06-28,2023,6,Jun,10,349342.43,34934.24,24.58,2,2,1,16.44,153578.06,-6.44,195764.37,-39.17,NORMAL
2023-06-29,2023,6,Jun,17,349499.74,20558.81,17.18,1,4,1,16.44,153578.06,0.56,195921.68,3.41,NORMAL
2023-06-30,2023,6,Jun,18,247544.81,13752.49,16.62,0,7,1,16.44,153578.06,1.56,93966.75,9.49,NORMAL
2023-07-01,2023,7,Jul,9,323734.27,35970.47,22.16,1,3,1,16.44,153578.06,-7.44,170156.21,-45.26,NORMAL
2023-07-02,2023,7,Jul,13,44678.53,3436.81,13.94,0,4,0,16.44,153578.06,-3.44,-108899.53,-20.92,NORMAL
2023-07-03,2023,7,Jul,20,120483.29,6024.16,9.93,0,4,1,16.44,153578.06,3.56,-33094.77,21.65,NORMAL
2023-07-04,2023,7,Jul,9,5778.55,642.06,12.42,0,3,0,16.44,153578.06,-7.44,-147799.51,-45.26,NORMAL
2023-07-05,2023,7,Jul,22,72143.24,3279.24,13.5,1,6,0,16.44,153578.06,5.56,-81434.82,33.82,NORMAL
2023-07-06,2023,7,Jul,16,42639.4,2664.96,16.01,0,11,0,16.44,153578.06,-0.44,-110938.66,-2.68,NORMAL
2023-07-07,2023,7,Jul,19,326713.64,17195.45,25.03,1,7,2,16.44,153578.06,2.56,173135.58,15.57,NORMAL
2023-07-08,2023,7,Jul,17,292146.1,17185.06,21.06,1,7,2,16.44,153578.06,0.56,138568.04,3.41,NORMAL
2023-07-09,2023,7,Jul,14,57679.3,4119.95,16.32,0,2,0,16.44,153578.06,-2.44,-95898.76,-14.84,NORMAL
2023-07-10,2023,7,Jul,21,124545.73,5930.75,18.59,1,7,1,16.44,153578.06,4.56,-29032.33,27.74,NORMAL
2023-07-11,2023,7,Jul,17,300995.94,17705.64,18.35,0,3,3,16.44,153578.06,0.56,147417.88,3.41,NORMAL
2023-07-12,2023,7,Jul,22,302044.83,13729.31,21.34,0,9,2,16.44,153578.06,5.56,148466.77,33.82,NORMAL
2023-07-13,2023,7,Jul,24,224010.51,9333.77,18.76,0,9,1,16.44,153578.06,7.56,70432.45,45.99,NORMAL
2023-07-14,2023,7,Jul,10,7189.27,718.93,9.25,0,4,0,16.44,153578.06,-6.44,-146388.79,-39.17,NORMAL
2023-07-15,2023,7,Jul,17,92754.73,5456.16,17.01,0,8,0,16.44,153578.06,0.56,-60823.33,3.41,NORMAL
2023-07-16,2023,7,Jul,8,9741.27,1217.66,9.83,0,1,0,16.44,153578.06,-8.44,-143836.79,-51.34,VOLUME DROP
2023-07-17,2023,7,Jul,12,32819.72,2734.98,12.32,0,6,0,16.44,153578.06,-4.44,-120758.34,-27.01,NORMAL
2023-07-18,2023,7,Jul,31,347278.0,11202.52,17.66,1,10,1,16.44,153578.06,14.56,193699.94,88.56,VOLUME SPIKE
2023-07-19,2023,7,Jul,17,48912.39,2877.2,19.82,0,9,0,16.44,153578.06,0.56,-104665.67,3.41,NORMAL
2023-07-20,2023,7,Jul,12,13380.96,1115.08,9.49,0,3,0,16.44,153578.06,-4.44,-140197.1,-27.01,NORMAL
2023-07-21,2023,7,Jul,17,218427.56,12848.68,14.44,0,5,2,16.44,153578.06,0.56,64849.5,3.41,NORMAL
